1,tester,testing_,2024-07-04
4537,chas a,regi ha,2025-12-14
4538,chas a,regi ha,2025-12-15
4539,chas a,regi ha,2025-12-16
4540,chas a,regi ha,2025-12-17
4541,chas a,regi ha,2025-12-18
4542,chas a,regi ha,2025-12-19
4543,chas a,regi ha,2025-12-20
4544,chas a,regi ha,2025-12-21
4545,chas a,regi ha,2025-12-22
4546,chas a,regi ha,2025-12-23
4547,chas a,regi ha,2025-12-24
4548,chas a,regi ha,2025-12-25
4549,chas a,regi ha,2025-12-26
4550,chas a,regi ha,2025-12-27
4551,chas a,regi ha,2025-12-28
4552,chas a,regi ha,2025-12-29
4553,chas a,regi ha,2025-12-30
4554,chas a,regi ha,2025-12-31
4555,chas a,regi ha,2026-01-01
4556,chas a,regi ha,2026-01-02
4557,chas a,regi ha,2026-01-03
4558,chas a,regi ha,2026-01-04
4559,chas a,regi ha,2026-01-05
4560,chas a,regi ha,2026-01-06
4561,chas a,regi ha,2026-01-07
4562,chas a,regi ha,2026-01-08
4563,chas a,regi ha,2026-01-09
4564,chas a,regi ha,2026-01-10
4565,chas a,regi ha,2026-01-11
4566,chas a,regi ha,2026-01-12
4567,chas a,regi ha,2026-01-13
4568,chas a,regi ha,2026-01-14
4569,chas a,regi ha,2026-01-15
4570,chas a,regi ha,2026-01-16
4571,chas a,regi ha,2026-01-17
4572,chas a,regi ha,2026-01-18
4573,chas a,regi ha,2026-01-19
4574,chas a,regi ha,2026-01-20
4575,chas a,regi ha,2026-01-21
4576,chas a,regi ha,2026-01-22
4577,chas a,regi ha,2026-01-23
4578,chas a,regi ha,2026-01-24
4579,chas a,regi ha,2026-01-25
4580,chas a,regi ha,2026-01-26
4581,chas a,regi ha,2026-01-27
4582,chas a,regi ha,2026-01-28
4583,chas a,regi ha,2026-01-29
4584,chas a,regi ha,2026-01-30
4585,chas a,regi ha,2026-01-31
4586,chas a,regi ha,2026-02-01
4587,chas a,regi ha,2026-02-02
4588,chas a,regi ha,2026-02-03
4589,chas a,regi ha,2026-02-04
4590,chas a,regi ha,2026-02-05
4591,chas a,regi ha,2026-02-06
4592,chas a,regi ha,2026-02-07
4593,chas a,regi ha,2026-02-08
4594,chas a,regi ha,2026-02-09
4595,chas a,regi ha,2026-02-10
4596,chas a,regi ha,2026-02-11
4597,chas a,regi ha,2026-02-12
4598,chas a,regi ha,2026-02-13
4599,chas a,regi ha,2026-02-14
4600,chas a,regi ha,2026-02-15
4601,chas a,regi ha,2026-02-16
4602,chas a,regi ha,2026-02-17
4603,chas a,regi ha,2026-02-18
4604,chas a,regi ha,2026-02-19
4605,chas a,regi ha,2026-02-20
4606,chas a,regi ha,2026-02-21
4607,chas a,regi ha,2026-02-22
4608,chas a,regi ha,2026-02-23
4609,chas a,regi ha,2026-02-24
4610,chas a,regi ha,2026-02-25
4611,chas a,regi ha,2026-02-26
4612,chas a,regi ha,2026-02-27
4613,chas a,regi ha,2026-02-28
4614,chas a,regi ha,2026-03-01
4615,chas a,regi ha,2026-03-02
4616,chas a,regi ha,2026-03-03
4617,chas a,regi ha,2026-03-04
4618,chas a,regi ha,2026-03-05
4619,chas a,regi ha,2026-03-06
4620,chas a,regi ha,2026-03-07
4621,chas a,regi ha,2026-03-08
4622,chas a,regi ha,2026-03-09
4623,chas a,regi ha,2026-03-10
4624,chas a,regi ha,2026-03-11
4625,chas a,regi ha,2026-03-12
4626,chas a,regi ha,2026-03-13
4627,chas a,regi ha,2026-03-14
4628,chas a,regi ha,2026-03-15
4629,chas a,regi ha,2026-03-16
4630,chas a,regi ha,2026-03-17
4631,chas a,regi ha,2026-03-18
4632,chas a,regi ha,2026-03-19
4633,chas a,regi ha,2026-03-20
4634,chas a,regi ha,2026-03-21
4635,chas a,regi ha,2026-03-22
4636,chas a,regi ha,2026-03-23
4637,chas a,regi ha,2026-03-24
4638,chas a,regi ha,2026-03-25
4639,chas a,regi ha,2026-03-26
4640,chas a,regi ha,2026-03-27
4641,chas a,regi ha,2026-03-28
4642,chas a,regi ha,2026-03-29
4643,chas a,regi ha,2026-03-30
4644,chas a,regi ha,2026-03-31
4645,chas a,regi ha,2026-04-01
4646,chas a,regi ha,2026-04-02
4647,chas a,regi ha,2026-04-03
4648,chas a,regi ha,2026-04-04
4649,chas a,regi ha,2026-04-05
4650,chas a,regi ha,2026-04-06
4651,chas a,regi ha,2026-04-07
4652,chas a,regi ha,2026-04-08
4653,chas a,regi ha,2026-04-09
4654,chas a,regi ha,2026-04-10
4655,chas a,regi ha,2026-04-11
4656,chas a,regi ha,2026-04-12
4657,chas a,regi ha,2026-04-13
4658,chas a,regi ha,2026-04-14
4659,chas a,regi ha,2026-04-15
4660,chas a,regi ha,2026-04-16
4661,chas a,regi ha,2026-04-17
4662,chas a,regi ha,2026-04-18
4663,chas a,regi ha,2026-04-19
4664,chas a,regi ha,2026-04-20
4665,chas a,regi ha,2026-04-21
4666,chas a,regi ha,2026-04-22
4667,chas a,regi ha,2026-04-23
4668,chas a,regi ha,2026-04-24
4669,chas a,regi ha,2026-04-25
4670,chas a,regi ha,2026-04-26
4671,chas a,regi ha,2026-04-27
4672,chas a,regi ha,2026-04-28
4673,chas a,regi ha,2026-04-29
4674,chas a,regi ha,2026-04-30
4675,chas a,regi ha,2026-05-01
4676,chas a,regi ha,2026-05-02
4677,chas a,regi ha,2026-05-03
4678,chas a,regi ha,2026-05-04
4679,chas a,regi ha,2026-05-05
4680,chas a,regi ha,2026-05-06
4681,chas a,regi ha,2026-05-07
4682,chas a,regi ha,2026-05-08
4683,chas a,regi ha,2026-05-09
4684,chas a,regi ha,2026-05-10
4685,chas a,regi ha,2026-05-11
4686,chas a,regi ha,2026-05-12
4687,chas a,regi ha,2026-05-13
4688,chas a,regi ha,2026-05-14
4689,chas a,regi ha,2026-05-15
4690,chas a,regi ha,2026-05-16
4691,chas a,regi ha,2026-05-17
4692,chas a,regi ha,2026-05-18
4693,chas a,regi ha,2026-05-19
4694,chas a,regi ha,2026-05-20
4695,chas a,regi ha,2026-05-21
4696,chas a,regi ha,2026-05-22
4697,chas a,regi ha,2026-05-23
4698,chas a,regi ha,2026-05-24
4699,chas a,regi ha,2026-05-25
4700,chas a,regi ha,2026-05-26
4701,chas a,regi ha,2026-05-27
4702,chas a,regi ha,2026-05-28
4703,chas a,regi ha,2026-05-29
4704,chas a,regi ha,2026-05-30
4705,chas a,regi ha,2026-05-31
4706,chas a,regi ha,2026-06-01
4707,chas a,regi ha,2026-06-02
4708,chas a,regi ha,2026-06-03
4709,chas a,regi ha,2026-06-04
4710,chas a,regi ha,2026-06-05
4711,chas a,regi ha,2026-06-06
4712,chas a,regi ha,2026-06-07
4713,chas a,regi ha,2026-06-08
4714,chas a,regi ha,2026-06-09
4715,chas a,regi ha,2026-06-10
4716,chas a,regi ha,2026-06-11
4717,chas a,regi ha,2026-06-12
4718,chas a,regi ha,2026-06-13
4719,chas a,regi ha,2026-06-14
4720,chas a,regi ha,2026-06-15
4721,chas a,regi ha,2026-06-16
4722,chas a,regi ha,2026-06-17
4723,chas a,regi ha,2026-06-18
4724,chas a,regi ha,2026-06-19
4725,chas a,regi ha,2026-06-20
4726,chas a,regi ha,2026-06-21
4727,chas a,regi ha,2026-06-22
4728,chas a,regi ha,2026-06-23
4729,chas a,regi ha,2026-06-24
4730,chas a,regi ha,2026-06-25
4731,chas a,regi ha,2026-06-26
4732,chas a,regi ha,2026-06-27
4733,chas a,regi ha,2026-06-28
4734,chas a,regi ha,2026-06-29
4735,chas a,regi ha,2026-06-30
4736,chas a,regi ha,2026-07-01
4737,chas a,regi ha,2026-07-02
4738,chas a,regi ha,2026-07-03
4739,chas a,regi ha,2026-07-04
4740,chas a,regi ha,2026-07-05
4741,chas a,regi ha,2026-07-06
4742,chas a,regi ha,2026-07-07
4743,chas a,regi ha,2026-07-08
4744,chas a,regi ha,2026-07-09
4745,chas a,regi ha,2026-07-10
4746,chas a,regi ha,2026-07-11
4747,chas a,regi ha,2026-07-12
4748,chas a,regi ha,2026-07-13
4749,chas a,regi ha,2026-07-14
4750,chas a,regi ha,2026-07-15
4751,chas a,regi ha,2026-07-16
4752,chas a,regi ha,2026-07-17
4753,chas a,regi ha,2026-07-18
4754,chas a,regi ha,2026-07-19
4755,chas a,regi ha,2026-07-20
4756,chas a,regi ha,2026-07-21
4757,chas a,regi ha,2026-07-22
4758,chas a,regi ha,2026-07-23
4759,chas a,regi ha,2026-07-24
4760,chas a,regi ha,2026-07-25
4761,chas a,regi ha,2026-07-26
4762,chas a,regi ha,2026-07-27
4763,chas a,regi ha,2026-07-28
4764,chas a,regi ha,2026-07-29
4765,chas a,regi ha,2026-07-30
4766,chas a,regi ha,2026-07-31
4767,chas a,regi ha,2026-08-01
4768,chas a,regi ha,2026-08-02
4769,chas a,regi ha,2026-08-03
4770,chas a,regi ha,2026-08-04
4771,chas a,regi ha,2026-08-05
4772,chas a,regi ha,2026-08-06
4773,chas a,regi ha,2026-08-07
4774,chas a,regi ha,2026-08-08
4775,chas a,regi ha,2026-08-09
4776,chas a,regi ha,2026-08-10
4777,chas a,regi ha,2026-08-11
4778,chas a,regi ha,2026-08-12
4779,chas a,regi ha,2026-08-13
4780,chas a,regi ha,2026-08-14
4781,chas a,regi ha,2026-08-15
4782,chas a,regi ha,2026-08-16
4783,chas a,regi ha,2026-08-17
4784,chas a,regi ha,2026-08-18
4785,chas a,regi ha,2026-08-19
4786,chas a,regi ha,2026-08-20
4787,chas a,regi ha,2026-08-21
4788,chas a,regi ha,2026-08-22
4789,chas a,regi ha,2026-08-23
4790,chas a,regi ha,2026-08-24
4791,chas a,regi ha,2026-08-25
4792,chas a,regi ha,2026-08-26
4793,chas a,regi ha,2026-08-27
4794,chas a,regi ha,2026-08-28
4795,chas a,regi ha,2026-08-29
4796,chas a,regi ha,2026-08-30
4797,chas a,regi ha,2026-08-31
4798,chas a,regi ha,2026-09-01
4799,chas a,regi ha,2026-09-02
4800,chas a,regi ha,2026-09-03
4801,chas a,regi ha,2026-09-04
4802,chas a,regi ha,2026-09-05
4803,chas a,regi ha,2026-09-06
4804,chas a,regi ha,2026-09-07
4805,chas a,regi ha,2026-09-08
4806,chas a,regi ha,2026-09-09
4807,chas a,regi ha,2026-09-10
4808,chas a,regi ha,2026-09-11
4809,chas a,regi ha,2026-09-12
4810,chas a,regi ha,2026-09-13
4811,chas a,regi ha,2026-09-14
4812,chas a,regi ha,2026-09-15
4813,chas a,regi ha,2026-09-16
4814,chas a,regi ha,2026-09-17
4815,chas a,regi ha,2026-09-18
4816,chas a,regi ha,2026-09-19
4817,chas a,regi ha,2026-09-20
4818,chas a,regi ha,2026-09-21
4819,chas a,regi ha,2026-09-22
4820,chas a,regi ha,2026-09-23
4821,chas a,regi ha,2026-09-24
4822,chas a,regi ha,2026-09-25
4823,chas a,regi ha,2026-09-26
4824,chas a,regi ha,2026-09-27
4825,chas a,regi ha,2026-09-28
4826,chas a,regi ha,2026-09-29
4827,chas a,regi ha,2026-09-30
4828,chas a,regi ha,2026-10-01
4829,chas a,regi ha,2026-10-02
4830,chas a,regi ha,2026-10-03
4831,chas a,regi ha,2026-10-04
4832,chas a,regi ha,2026-10-05
4833,chas a,regi ha,2026-10-06
4834,chas a,regi ha,2026-10-07
4835,chas a,regi ha,2026-10-08
4836,chas a,regi ha,2026-10-09
4837,chas a,regi ha,2026-10-10
4838,chas a,regi ha,2026-10-11
4839,chas a,regi ha,2026-10-12
4840,chas a,regi ha,2026-10-13
4841,chas a,regi ha,2026-10-14
4842,chas a,regi ha,2026-10-15
4843,chas a,regi ha,2026-10-16
4844,chas a,regi ha,2026-10-17
4845,chas a,regi ha,2026-10-18
4846,chas a,regi ha,2026-10-19
4847,chas a,regi ha,2026-10-20
4848,chas a,regi ha,2026-10-21
4849,chas a,regi ha,2026-10-22
4850,chas a,regi ha,2026-10-23
4851,chas a,regi ha,2026-10-24
4852,chas a,regi ha,2026-10-25
4853,chas a,regi ha,2026-10-26
4854,chas a,regi ha,2026-10-27
4855,chas a,regi ha,2026-10-28
4856,chas a,regi ha,2026-10-29
4857,chas a,regi ha,2026-10-30
4858,chas a,regi ha,2026-10-31
4859,chas a,regi ha,2026-11-01
4860,chas a,regi ha,2026-11-02
4861,chas a,regi ha,2026-11-03
4862,chas a,regi ha,2026-11-04
4863,chas a,regi ha,2026-11-05
4864,chas a,regi ha,2026-11-06
4865,chas a,regi ha,2026-11-07
4866,chas a,regi ha,2026-11-08
4867,chas a,regi ha,2026-11-09
4868,chas a,regi ha,2026-11-10
4869,chas a,regi ha,2026-11-11
4870,chas a,regi ha,2026-11-12
4871,chas a,regi ha,2026-11-13
4872,chas a,regi ha,2026-11-14
4873,chas a,regi ha,2026-11-15
4874,chas a,regi ha,2026-11-16
4875,chas a,regi ha,2026-11-17
4876,chas a,regi ha,2026-11-18
4877,chas a,regi ha,2026-11-19
4878,chas a,regi ha,2026-11-20
4879,chas a,regi ha,2026-11-21
4880,chas a,regi ha,2026-11-22
4881,chas a,regi ha,2026-11-23
4882,chas a,regi ha,2026-11-24
4883,chas a,regi ha,2026-11-25
4884,chas a,regi ha,2026-11-26
4885,chas a,regi ha,2026-11-27
4886,chas a,regi ha,2026-11-28
4887,chas a,regi ha,2026-11-29
4888,chas a,regi ha,2026-11-30
4889,chas a,regi ha,2026-12-01
4890,chas a,regi ha,2026-12-02
4891,chas a,regi ha,2026-12-03
4892,chas a,regi ha,2026-12-04
4893,chas a,regi ha,2026-12-05
4894,chas a,regi ha,2026-12-06
4895,chas a,regi ha,2026-12-07
4896,chas a,regi ha,2026-12-08
4897,chas a,regi ha,2026-12-09
4898,chas a,regi ha,2026-12-10
4899,chas a,regi ha,2026-12-11
4900,chas a,regi ha,2026-12-12
4901,chas a,regi ha,2026-12-13
4902,chas a,regi ha,2026-12-14
4903,chas a,regi ha,2026-12-15
4904,chas a,regi ha,2026-12-16
4905,chas a,regi ha,2026-12-17
4906,chas a,regi ha,2026-12-18
4907,chas a,regi ha,2026-12-19
4908,chas a,regi ha,2026-12-20
4909,chas a,regi ha,2026-12-21
4910,chas a,regi ha,2026-12-22
4911,chas a,regi ha,2026-12-23
4912,chas a,regi ha,2026-12-24
4913,chas a,regi ha,2026-12-25
4914,chas a,regi ha,2026-12-26
4915,chas a,regi ha,2026-12-27
4916,chas a,regi ha,2026-12-28
4917,chas a,regi ha,2026-12-29
4918,chas a,regi ha,2026-12-30
4919,chas a,regi ha,2026-12-31
4920,chas a,regi ha,2027-01-01
4921,chas a,regi ha,2027-01-02
4922,chas a,regi ha,2027-01-03
4923,chas a,regi ha,2027-01-04
4924,chas a,regi ha,2027-01-05
4925,chas a,regi ha,2027-01-06
4926,chas a,regi ha,2027-01-07
4927,chas a,regi ha,2027-01-08
4928,chas a,regi ha,2027-01-09
4929,chas a,regi ha,2027-01-10
4930,chas a,regi ha,2027-01-11
4931,chas a,regi ha,2027-01-12
4932,chas a,regi ha,2027-01-13
4933,chas a,regi ha,2027-01-14
4934,chas a,regi ha,2027-01-15
4935,chas a,regi ha,2027-01-16
4936,chas a,regi ha,2027-01-17
4937,chas a,regi ha,2027-01-18
4938,chas a,regi ha,2027-01-19
4939,chas a,regi ha,2027-01-20
4940,chas a,regi ha,2027-01-21
4941,chas a,regi ha,2027-01-22
4942,chas a,regi ha,2027-01-23
4943,chas a,regi ha,2027-01-24
4944,chas a,regi ha,2027-01-25
4945,chas a,regi ha,2027-01-26
4946,chas a,regi ha,2027-01-27
4947,chas a,regi ha,2027-01-28
4948,chas a,regi ha,2027-01-29
4949,chas a,regi ha,2027-01-30
4950,chas a,regi ha,2027-01-31
4951,chas a,regi ha,2027-02-01
4952,chas a,regi ha,2027-02-02
4953,chas a,regi ha,2027-02-03
4954,chas a,regi ha,2027-02-04
4955,chas a,regi ha,2027-02-05
4956,chas a,regi ha,2027-02-06
4957,chas a,regi ha,2027-02-07
4958,chas a,regi ha,2027-02-08
4959,chas a,regi ha,2027-02-09
4960,chas a,regi ha,2027-02-10
4961,chas a,regi ha,2027-02-11
4962,chas a,regi ha,2027-02-12
4963,chas a,regi ha,2027-02-13
4964,chas a,regi ha,2027-02-14
4965,chas a,regi ha,2027-02-15
4966,chas a,regi ha,2027-02-16
4967,chas a,regi ha,2027-02-17
4968,chas a,regi ha,2027-02-18
4969,chas a,regi ha,2027-02-19
4970,chas a,regi ha,2027-02-20
4971,chas a,regi ha,2027-02-21
4972,chas a,regi ha,2027-02-22
4973,chas a,regi ha,2027-02-23
4974,chas a,regi ha,2027-02-24
4975,chas a,regi ha,2027-02-25
4976,chas a,regi ha,2027-02-26
4977,chas a,regi ha,2027-02-27
4978,chas a,regi ha,2027-02-28
4979,chas a,regi ha,2027-03-01
4980,chas a,regi ha,2027-03-02
4981,chas a,regi ha,2027-03-03
4982,chas a,regi ha,2027-03-04
4983,chas a,regi ha,2027-03-05
4984,chas a,regi ha,2027-03-06
4985,chas a,regi ha,2027-03-07
4986,chas a,regi ha,2027-03-08
4987,chas a,regi ha,2027-03-09
4988,chas a,regi ha,2027-03-10
4989,chas a,regi ha,2027-03-11
4990,chas a,regi ha,2027-03-12
4991,chas a,regi ha,2027-03-13
4992,chas a,regi ha,2027-03-14
4993,chas a,regi ha,2027-03-15
4994,chas a,regi ha,2027-03-16
4995,chas a,regi ha,2027-03-17
4996,chas a,regi ha,2027-03-18
4997,chas a,regi ha,2027-03-19
4998,chas a,regi ha,2027-03-20
4999,chas a,regi ha,2027-03-21
5000,chas a,regi ha,2027-03-22
5001,chas a,regi ha,2027-03-23
5002,chas a,regi ha,2027-03-24
5003,chas a,regi ha,2027-03-25
5004,chas a,regi ha,2027-03-26
5005,chas a,regi ha,2027-03-27
5006,chas a,regi ha,2027-03-28
5007,chas a,regi ha,2027-03-29
5008,chas a,regi ha,2027-03-30
5009,chas a,regi ha,2027-03-31
5010,chas a,regi ha,2027-04-01
5011,chas a,regi ha,2027-04-02
5012,chas a,regi ha,2027-04-03
5013,chas a,regi ha,2027-04-04
5014,chas a,regi ha,2027-04-05
5015,chas a,regi ha,2027-04-06
5016,chas a,regi ha,2027-04-07
5017,chas a,regi ha,2027-04-08
5018,chas a,regi ha,2027-04-09
5019,chas a,regi ha,2027-04-10
5020,chas a,regi ha,2027-04-11
5021,chas a,regi ha,2027-04-12
5022,chas a,regi ha,2027-04-13
5023,chas a,regi ha,2027-04-14
5024,chas a,regi ha,2027-04-15
5025,chas a,regi ha,2027-04-16
5026,chas a,regi ha,2027-04-17
5027,chas a,regi ha,2027-04-18
5028,chas a,regi ha,2027-04-19
5029,chas a,regi ha,2027-04-20
5030,chas a,regi ha,2027-04-21
5031,chas a,regi ha,2027-04-22
5032,chas a,regi ha,2027-04-23
5033,chas a,regi ha,2027-04-24
5034,chas a,regi ha,2027-04-25
5035,chas a,regi ha,2027-04-26
5036,chas a,regi ha,2027-04-27
5037,chas a,regi ha,2027-04-28
5038,chas a,regi ha,2027-04-29
5039,chas a,regi ha,2027-04-30
5040,chas a,regi ha,2027-05-01
5041,chas a,regi ha,2027-05-02
5042,chas a,regi ha,2027-05-03
5043,chas a,regi ha,2027-05-04
5044,chas a,regi ha,2027-05-05
5045,chas a,regi ha,2027-05-06
5046,chas a,regi ha,2027-05-07
5047,chas a,regi ha,2027-05-08
5048,chas a,regi ha,2027-05-09
5049,chas a,regi ha,2027-05-10
5050,chas a,regi ha,2027-05-11
5051,chas a,regi ha,2027-05-12
5052,chas a,regi ha,2027-05-13
5053,chas a,regi ha,2027-05-14
5054,chas a,regi ha,2027-05-15
5055,chas a,regi ha,2027-05-16
5056,chas a,regi ha,2027-05-17
5057,chas a,regi ha,2027-05-18
5058,chas a,regi ha,2027-05-19
5059,chas a,regi ha,2027-05-20
5060,chas a,regi ha,2027-05-21
5061,chas a,regi ha,2027-05-22
5062,chas a,regi ha,2027-05-23
5063,chas a,regi ha,2027-05-24
5064,chas a,regi ha,2027-05-25
5065,chas a,regi ha,2027-05-26
5066,chas a,regi ha,2027-05-27
5067,chas a,regi ha,2027-05-28
5068,chas a,regi ha,2027-05-29
5069,chas a,regi ha,2027-05-30
5070,chas a,regi ha,2027-05-31
5071,chas a,regi ha,2027-06-01
5072,chas a,regi ha,2027-06-02
5073,chas a,regi ha,2027-06-03
5074,chas a,regi ha,2027-06-04
5075,chas a,regi ha,2027-06-05
5076,chas a,regi ha,2027-06-06
5077,chas a,regi ha,2027-06-07
5078,chas a,regi ha,2027-06-08
5079,chas a,regi ha,2027-06-09
5080,chas a,regi ha,2027-06-10
5081,chas a,regi ha,2027-06-11
5082,chas a,regi ha,2027-06-12
5083,chas a,regi ha,2027-06-13
5084,chas a,regi ha,2027-06-14
5085,chas a,regi ha,2027-06-15
5086,chas a,regi ha,2027-06-16
5087,chas a,regi ha,2027-06-17
5088,chas a,regi ha,2027-06-18
5089,chas a,regi ha,2027-06-19
5090,chas a,regi ha,2027-06-20
5091,chas a,regi ha,2027-06-21
5092,chas a,regi ha,2027-06-22
5093,chas a,regi ha,2027-06-23
5094,chas a,regi ha,2027-06-24
5095,chas a,regi ha,2027-06-25
5096,chas a,regi ha,2027-06-26
5097,chas a,regi ha,2027-06-27
5098,chas a,regi ha,2027-06-28
5099,chas a,regi ha,2027-06-29
5100,chas a,regi ha,2027-06-30
5101,chas a,regi ha,2027-07-01
5102,chas a,regi ha,2027-07-02
5103,chas a,regi ha,2027-07-03
5104,chas a,regi ha,2027-07-04
5105,chas a,regi ha,2027-07-05
5106,chas a,regi ha,2027-07-06
5107,chas a,regi ha,2027-07-07
5108,chas a,regi ha,2027-07-08
5109,chas a,regi ha,2027-07-09
5110,chas a,regi ha,2027-07-10
5111,chas a,regi ha,2027-07-11
5112,chas a,regi ha,2027-07-12
5113,chas a,regi ha,2027-07-13
5114,chas a,regi ha,2027-07-14
5115,chas a,regi ha,2027-07-15
5116,chas a,regi ha,2027-07-16
5117,chas a,regi ha,2027-07-17
5118,chas a,regi ha,2027-07-18
5119,chas a,regi ha,2027-07-19
5120,chas a,regi ha,2027-07-20
5121,chas a,regi ha,2027-07-21
5122,chas a,regi ha,2027-07-22
5123,chas a,regi ha,2027-07-23
5124,chas a,regi ha,2027-07-24
5125,chas a,regi ha,2027-07-25
5126,chas a,regi ha,2027-07-26
5127,chas a,regi ha,2027-07-27
5128,chas a,regi ha,2027-07-28
5129,chas a,regi ha,2027-07-29
5130,chas a,regi ha,2027-07-30
5131,chas a,regi ha,2027-07-31
5132,chas a,regi ha,2027-08-01
5133,chas a,regi ha,2027-08-02
5134,chas a,regi ha,2027-08-03
5135,chas a,regi ha,2027-08-04
5136,chas a,regi ha,2027-08-05
5137,chas a,regi ha,2027-08-06
5138,chas a,regi ha,2027-08-07
5139,chas a,regi ha,2027-08-08
5140,chas a,regi ha,2027-08-09
5141,chas a,regi ha,2027-08-10
5142,chas a,regi ha,2027-08-11
5143,chas a,regi ha,2027-08-12
5144,chas a,regi ha,2027-08-13
5145,chas a,regi ha,2027-08-14
5146,chas a,regi ha,2027-08-15
5147,chas a,regi ha,2027-08-16
5148,chas a,regi ha,2027-08-17
5149,chas a,regi ha,2027-08-18
5150,chas a,regi ha,2027-08-19
5151,chas a,regi ha,2027-08-20
5152,chas a,regi ha,2027-08-21
5153,chas a,regi ha,2027-08-22
5154,chas a,regi ha,2027-08-23
5155,chas a,regi ha,2027-08-24
5156,chas a,regi ha,2027-08-25
5157,chas a,regi ha,2027-08-26
5158,chas a,regi ha,2027-08-27
5159,chas a,regi ha,2027-08-28
5160,chas a,regi ha,2027-08-29
5161,chas a,regi ha,2027-08-30
5162,chas a,regi ha,2027-08-31
5163,chas a,regi ha,2027-09-01
5164,chas a,regi ha,2027-09-02
5165,chas a,regi ha,2027-09-03
5166,chas a,regi ha,2027-09-04
5167,chas a,regi ha,2027-09-05
5168,chas a,regi ha,2027-09-06
5169,chas a,regi ha,2027-09-07
5170,chas a,regi ha,2027-09-08
5171,chas a,regi ha,2027-09-09
5172,chas a,regi ha,2027-09-10
5173,chas a,regi ha,2027-09-11
5174,chas a,regi ha,2027-09-12
5175,chas a,regi ha,2027-09-13
5176,chas a,regi ha,2027-09-14
5177,chas a,regi ha,2027-09-15
5178,chas a,regi ha,2027-09-16
5179,chas a,regi ha,2027-09-17
5180,chas a,regi ha,2027-09-18
5181,chas a,regi ha,2027-09-19
5182,chas a,regi ha,2027-09-20
5183,chas a,regi ha,2027-09-21
5184,chas a,regi ha,2027-09-22
5185,chas a,regi ha,2027-09-23
5186,chas a,regi ha,2027-09-24
5187,chas a,regi ha,2027-09-25
5188,chas a,regi ha,2027-09-26
5189,chas a,regi ha,2027-09-27
5190,chas a,regi ha,2027-09-28
5191,chas a,regi ha,2027-09-29
5192,chas a,regi ha,2027-09-30
5193,chas a,regi ha,2027-10-01
5194,chas a,regi ha,2027-10-02
5195,chas a,regi ha,2027-10-03
5196,chas a,regi ha,2027-10-04
5197,chas a,regi ha,2027-10-05
5198,chas a,regi ha,2027-10-06
5199,chas a,regi ha,2027-10-07
5200,chas a,regi ha,2027-10-08
5201,chas a,regi ha,2027-10-09
5202,chas a,regi ha,2027-10-10
5203,chas a,regi ha,2027-10-11
5204,chas a,regi ha,2027-10-12
5205,chas a,regi ha,2027-10-13
5206,chas a,regi ha,2027-10-14
5207,chas a,regi ha,2027-10-15
5208,chas a,regi ha,2027-10-16
5209,chas a,regi ha,2027-10-17
5210,chas a,regi ha,2027-10-18
5211,chas a,regi ha,2027-10-19
5212,chas a,regi ha,2027-10-20
5213,chas a,regi ha,2027-10-21
5214,chas a,regi ha,2027-10-22
5215,chas a,regi ha,2027-10-23
5216,chas a,regi ha,2027-10-24
5217,chas a,regi ha,2027-10-25
5218,chas a,regi ha,2027-10-26
5219,chas a,regi ha,2027-10-27
5220,chas a,regi ha,2027-10-28
5221,chas a,regi ha,2027-10-29
5222,chas a,regi ha,2027-10-30
5223,chas a,regi ha,2027-10-31
5224,chas a,regi ha,2027-11-01
5225,chas a,regi ha,2027-11-02
5226,chas a,regi ha,2027-11-03
5227,chas a,regi ha,2027-11-04
5228,chas a,regi ha,2027-11-05
5229,chas a,regi ha,2027-11-06
5230,chas a,regi ha,2027-11-07
5231,chas a,regi ha,2027-11-08
5232,chas a,regi ha,2027-11-09
5233,chas a,regi ha,2027-11-10
5234,chas a,regi ha,2027-11-11
5235,chas a,regi ha,2027-11-12
5236,chas a,regi ha,2027-11-13
5237,chas a,regi ha,2027-11-14
5238,chas a,regi ha,2027-11-15
5239,chas a,regi ha,2027-11-16
5240,chas a,regi ha,2027-11-17
5241,chas a,regi ha,2027-11-18
5242,chas a,regi ha,2027-11-19
5243,chas a,regi ha,2027-11-20
5244,chas a,regi ha,2027-11-21
5245,chas a,regi ha,2027-11-22
5246,chas a,regi ha,2027-11-23
5247,chas a,regi ha,2027-11-24
5248,chas a,regi ha,2027-11-25
5249,chas a,regi ha,2027-11-26
5250,chas a,regi ha,2027-11-27
5251,chas a,regi ha,2027-11-28
5252,chas a,regi ha,2027-11-29
5253,chas a,regi ha,2027-11-30
5254,chas a,regi ha,2027-12-01
5255,chas a,regi ha,2027-12-02
5256,chas a,regi ha,2027-12-03
5257,chas a,regi ha,2027-12-04
5258,chas a,regi ha,2027-12-05
5259,chas a,regi ha,2027-12-06
5260,chas a,regi ha,2027-12-07
5261,chas a,regi ha,2027-12-08
5262,chas a,regi ha,2027-12-09
5263,chas a,regi ha,2027-12-10
5264,chas a,regi ha,2027-12-11
5265,chas a,regi ha,2027-12-12
5266,chas a,regi ha,2027-12-13
5267,chas a,regi ha,2027-12-14
5268,chas a,regi ha,2027-12-15
5269,chas a,regi ha,2027-12-16
5270,chas a,regi ha,2027-12-17
5271,chas a,regi ha,2027-12-18
5272,chas a,regi ha,2027-12-19
